Date,Price,Open,High,Low,Vol.,Change %
6-May-20,284.25,288.04,288.46,283.78,73.63M,-0.68%
5-May-20,286.19,286.64,289.25,283.71,79.57M,0.92%
4-May-20,283.57,280.74,283.9,279.13,80.87M,0.28%
3-May-20,282.79,282.79,282.79,282.79,-,0.00%
2-May-20,282.79,282.79,282.79,282.79,-,0.00%
1-May-20,282.79,285.31,290.66,281.52,125.18M,-2.65%
30-Apr-20,290.48,291.71,293.32,288.59,122.90M,-0.93%
29-Apr-20,293.21,291.53,294.88,290.41,118.75M,2.62%
28-Apr-20,285.73,291.02,291.4,285.4,105.27M,-0.46%
27-Apr-20,287.05,285.12,288.27,284.62,77.90M,1.44%
24-Apr-20,282.97,280.73,283.7,278.5,85.17M,1.39%
23-Apr-20,279.08,280.49,283.94,278.75,104.71M,-0.01%
22-Apr-20,279.1,278.35,281,276.91,93.53M,2.22%
21-Apr-20,273.04,276.73,278.04,272.02,126.39M,-3.04%
20-Apr-20,281.59,282.61,286.79,281.35,100.11M,-1.76%
17-Apr-20,286.64,285.38,287.3,282.4,146.68M,2.70%
16-Apr-20,279.1,279.15,280.03,275.76,131.80M,0.48%
15-Apr-20,277.76,277.57,283.94,275.46,121.78M,-2.12%
14-Apr-20,283.79,280.98,284.9,275.51,134.14M,2.95%
13-Apr-20,275.66,277.14,277.51,271.41,114.84M,-0.91%
9-Apr-20,278.2,277.58,281.2,275.47,190.28M,1.52%
8-Apr-20,274.03,267.96,276,265.25,153.77M,3.36%
7-Apr-20,265.13,274.21,275.03,264.89,201.43M,0.10%
6-Apr-20,264.86,257.84,267,248.17,188.06M,6.72%
3-Apr-20,248.19,250.76,253.32,245.22,135.56M,-1.45%
2-Apr-20,251.83,245.19,252.68,244.59,177.66M,2.31%
1-Apr-20,246.15,247.98,257.66,243.9,189.56M,-4.50%
31-Mar-20,257.75,260.56,263.33,256.22,194.88M,-1.49%
30-Mar-20,261.65,255.7,262.43,253.53,170.96M,3.25%
28-Mar-20,253.42,253.42,253.42,253.42,-,0.00%
27-Mar-20,253.42,253.27,260.81,251.05,220.44M,-2.98%
26-Mar-20,261.2,249.52,262.8,249.05,254.58M,5.84%
25-Mar-20,246.79,244.87,256.35,239.75,296.79M,1.50%
24-Mar-20,243.15,234.42,244.1,233.8,230.26M,9.06%
23-Mar-20,222.95,228.19,229.68,218.26,316.41M,-2.56%
21-Mar-20,228.8,228.8,228.8,228.8,-,0.00%
20-Mar-20,228.8,242.53,244.47,228.5,335.78M,-4.87%
